sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BRX--Home Page,15788,164,161,221,53,735,0.0,17.149182024859144,310.6925839078286
BRX--Genre main page,15754,355,262,620,77,4964,0.0,17.12810198146286,1695.5661020613059
BRX--Event Type page,15722,333,295,423,106,30505,1.9081541788576516E-4,17.117840029527784,675.2602101098636
BRX--Team Name Page,15687,278,244,363,94,30503,2.549882067954357E-4,17.10528467917369,435.6841284136694
BRX--Event detail page,15668,373,344,503,153,6279,0.0,17.103179064870478,370.28195291324676
BRX--TicketList--AjaxCall,15668,143,124,226,0,1031,1.9147306612203217E-4,17.105251665982514,85.48160288008364
BRX--Ticket Details page,15644,625,588,793,0,6976,2.5568908207619537E-4,17.091439858758545,383.79600279911386
TOTAL,109931,324,265,593,0,30505,1.273526120930402E-4,119.4044279056026,3947.306126428797
