sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BRX--Home Page,17826,170,164,224,52,1348,0.0,17.13032055206028,310.35157113374976
BRX--Genre main page,17810,370,265,628,77,6711,0.0,17.13340195672878,1697.1757587780426
BRX--Event Type page,17778,328,298,430,108,5404,0.0,17.13117810816983,676.114638801521
BRX--Team Name Page,17752,280,248,378,96,5426,0.0,17.120344875807096,436.1683575120914
BRX--Event detail page,17727,385,345,521,155,5464,0.0,17.124376081322193,370.5893291974621
BRX--TicketList--AjaxCall,17708,148,125,231,0,1793,5.6471651231081995E-5,17.133314369420884,84.8715566076415
BRX--Ticket Details page,17703,648,593,818,0,15814,3.9541320680110717E-4,17.121783922951487,384.3694231024275
TOTAL,124304,333,268,605,0,15814,6.435834727764191E-5,119.42753489516079,3948.5932991512436
