sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SLX--Landing Page,80,744,346,407,192,30521,0.0125,0.36069505937942414,2.859129170818417
SLX--Signinform,79,4114,698,30606,526,30884,0.12658227848101267,0.362146105324923,6.4702503349278455
SLX--Ticketdetailsform,69,1631,317,426,213,30624,0.043478260869565216,0.32413388138578975,2.8840281855549033
SLX--Seatmapdata,66,87,82,108,48,160,0.0,0.31034725977476313,2.364900856393859
SLX--SeatmapSWF,66,206,210,212,7,330,0.0,0.3102276412828383,0.5977335314951562
SLX--Pricingform,66,2579,796,891,595,30802,0.06060606060606061,0.30926820582267683,10.040389739441537
SLX--Ticketreviewform,62,607,600,712,476,838,0.0,0.29078765934694717,2.7427237863132814
SLX--Signout,62,251,209,405,165,655,0.0,0.290883158803438,6.013297311617967
TOTAL,550,1345,345,797,7,30884,0.03272727272727273,2.3860757297053414,31.664500161873548
