sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SLX--Landing Page,775,416,347,452,184,30643,0.0025806451612903226,0.7457982687856961,5.950783215990397
SLX--Signinform,772,1029,714,972,78,30923,0.02072538860103627,0.7436398086187083,14.401310427356892
SLX--Ticketdetailsform,755,387,333,452,203,30507,0.0013245033112582781,0.7280940138135346,6.677506985001264
SLX--Seatmapdata,752,100,92,127,49,693,0.0,0.7262164124909223,5.05091357535799
SLX--SeatmapSWF,752,230,210,214,7,1763,0.0,0.7261112301985027,1.3990404855289509
SLX--Pricingform,752,1113,864,1217,592,30808,0.005319148936170213,0.7254191900386054,24.780463965923143
SLX--Ticketreviewform,744,766,664,816,464,30948,0.002688172043010753,0.7224163662262582,6.801592530892039
SLX--Signout,742,444,303,437,166,30576,0.004043126684636119,0.7204422078155357,14.859260868288212
TOTAL,6044,561,373,852,7,30948,0.004632693580410324,5.804890745309938,79.46180668940664
