sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BRX--Home Page,17730,174,163,226,52,4940,0.0,17.040752676493852,308.7282606207957
BRX--Genre main page,17713,373,265,628,78,5475,0.0,17.03477737364567,1687.6185364491869
BRX--Event Type page,17691,341,297,438,104,5443,0.0,17.039823158016404,672.4433460840843
BRX--Team Name Page,17668,285,248,379,96,5342,0.0,17.039037990651096,434.09139790114983
BRX--Event detail page,17644,395,346,529,142,5686,0.0,17.041234494688375,368.8275324059564
BRX--TicketList--AjaxCall,17615,150,126,234,0,5214,1.1353959693443088E-4,17.043959191256153,83.94460019325035
BRX--Ticket Details page,17612,646,591,806,0,6008,5.677946854417443E-4,17.03973745723618,382.4336264336038
TOTAL,123673,337,268,607,0,6008,9.703007123624397E-5,118.8223165706369,3927.841952128868
