sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BRX--Home Page,18158,163,160,215,53,769,0.0,17.460891372831092,316.3398511048043
BRX--Genre main page,18139,351,258,613,78,3835,0.0,17.46537784201146,1730.2811279946854
BRX--Event Type page,18113,302,290,409,108,3226,0.0,17.47095970191435,689.1048156454697
BRX--Team Name Page,18087,256,240,353,97,5224,0.0,17.475379203264932,445.21997651084683
BRX--Event detail page,18069,355,335,480,154,1500,0.0,17.4730298962971,378.1552357125054
BRX--TicketList--AjaxCall,18037,139,121,219,47,777,0.0,17.467422293842386,86.35438284663687
BRX--Ticket Details page,18036,601,578,766,0,3637,6.653359946773121E-4,17.464475053862355,391.9065542996079
TOTAL,126639,309,260,581,0,5224,9.475753914670836E-5,121.75562537736467,4024.7474112964715
