sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BYX--LandingPage,800,667,603,847,351,5874,0.0,0.8497738008363899,18.909611212220916
BYX--ClickCheckoutButton,799,174,117,303,79,698,0.0,0.8493395030035154,9.725028453604166
BYX--Signinform,796,1005,923,1094,646,30504,0.002512562814070352,0.8485968834319988,14.650244832793899
BYX--DeliveryInfo,794,602,608,726,292,1065,0.0,0.8466271929403661,4.363978235470054
BYX--Deliveryform,793,473,383,455,150,30504,0.0025220680958385876,0.8462322389939121,0.5973288794092381
BYX--Pricedetails,791,240,230,282,31,613,0.0,0.8442006828313487,1.0815695902585005
BYX--Reviewsubmit,789,552,539,642,419,900,0.0,0.8427092300692324,19.67983411798837
BYX--Reviewsubmitform,788,911,871,1031,738,2618,0.0,0.8432109215075498,0.8596056908845475
BYX--CheckoutSuccess,788,305,264,440,168,776,0.0,0.8437002465788919,13.25128899671139
BYX--Signout,786,313,291,412,151,1382,0.0,0.8449432404540764,18.470398306149487
TOTAL,7924,524,460,897,31,30504,5.047955577990914E-4,8.408470865879371,100.96316644048916
