sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BYX--LandingPage,869,727,625,922,349,15533,0.0011507479861910242,0.8355303261933469,18.576383818558675
BYX--ClickCheckoutButton,866,232,133,334,79,30503,0.0011547344110854503,0.8337601620537073,9.537753709859649
BYX--Signinform,864,984,931,1140,633,15468,0.0011574074074074073,0.8341088743777972,14.420406107964967
BYX--DeliveryInfo,863,599,618,714,333,1181,0.0,0.8332673542651123,4.295192081160047
BYX--Deliveryform,862,396,385,443,151,816,0.0,0.8335283389965557,0.5842842075388868
BYX--Pricedetails,861,245,230,285,31,672,0.0,0.83321559284112,1.0674204462372718
BYX--Reviewsubmit,861,571,541,632,394,3610,0.0,0.8329987471157055,19.41017917091954
BYX--Reviewsubmitform,860,1013,877,1008,756,30503,0.002325581395348837,0.8324669868760611,0.8525280951558165
BYX--CheckoutSuccess,857,312,270,449,169,833,0.0011668611435239206,0.8314447152326105,13.056501047855608
BYX--Signout,856,422,300,502,162,30540,0.002336448598130841,0.8306631137057473,18.122599470937466
TOTAL,8619,550,470,913,31,30540,9.281819236570367E-4,8.283175226780633,99.36784883589627
