sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SLX--Landing Page,779,444,342,446,183,30694,0.0038510911424903724,0.7501008640122019,5.979115281788533
SLX--Signinform,776,802,721,861,508,30921,0.002577319587628866,0.7467189113300161,14.63777926932448
SLX--Ticketdetailsform,772,455,330,433,205,30937,0.0038860103626943004,0.7441336818809231,6.810811993709564
SLX--Seatmapdata,768,143,94,127,46,30505,0.0013020833333333333,0.7414637537181801,5.143967017534459
SLX--SeatmapSWF,767,209,209,212,7,538,0.0,0.7403832231285293,1.4265391594068246
SLX--Pricingform,766,1058,866,1053,590,30825,0.005221932114882507,0.7391717609367988,25.244675178460284
SLX--Ticketreviewform,759,739,684,829,469,30509,0.0013175230566534915,0.7344722976209485,6.919731957528342
SLX--Signout,757,436,321,487,172,30640,0.002642007926023778,0.7350749203506997,15.162823426592524
TOTAL,6144,535,377,847,7,30937,0.0026041666666666665,5.9023801655433195,80.90778508176776
