sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BYX--LandingPage,844,614,594,779,349,2020,0.0,0.8118124482397425,18.065086036549356
BYX--ClickCheckoutButton,840,307,133,337,79,30504,0.0035714285714285713,0.8091916464449032,9.239360680197827
BYX--Signinform,835,1119,927,1147,610,30505,0.004790419161676647,0.8094693371076255,13.948294426597611
BYX--DeliveryInfo,831,642,611,723,317,30503,0.0012033694344163659,0.8058572536850271,4.151193694239721
BYX--Deliveryform,830,408,387,455,175,3803,0.0,0.8050249072766492,0.5644769256704986
BYX--Pricedetails,830,291,230,290,32,30503,0.0012048192771084338,0.8050897190042884,1.0326683264973455
BYX--Reviewsubmit,829,595,538,639,389,30504,0.0012062726176115801,0.8038624183168149,18.720914228655708
BYX--Reviewsubmitform,828,1087,879,1125,714,30503,0.0036231884057971015,0.8024064440602542,0.8224469205229985
BYX--CheckoutSuccess,821,367,305,455,168,30503,0.001218026796589525,0.7985930754879589,12.523194520639887
BYX--Signout,820,487,281,413,153,30542,0.006097560975609756,0.797660714042525,17.345777628304212
TOTAL,8308,592,463,906,32,30542,0.0022869523350987,7.986818097045415,95.70066625863765
